NodeIndex,PredictedRiskScore
2409,1.3001202
2410,1.2909863
2411,1.2838931
2412,1.2787027
2413,1.2755003
2414,1.2729654
2415,1.2707087
2416,1.2683707
2417,1.2660866
2418,1.2634455
2419,1.2599287
2420,1.2555678
2421,1.2510267
2422,1.2470269
2423,1.2435912
2424,1.2404301
2425,1.2371787
2426,1.2339451
2427,1.2308192
2428,1.2278616
2429,1.2248768
2430,1.2216296
2431,1.2178984
2432,1.2138901
2433,1.2095219
2434,1.2048469
2435,1.1997404
2436,1.1946732
2437,1.1902715
2438,1.1870971
2439,1.1849991
2440,1.1829662
2441,1.1801895
2442,1.1765249
2443,1.172371
2444,1.1676828
2445,1.1622621
2446,1.156231
2447,1.1500692
2448,1.1448629
2449,1.1419939
2450,1.142586
2451,1.1463573
2452,1.1521676
2453,1.1589167
2454,1.1663446
2455,1.1748772
2456,1.1848379
2457,1.1942766
2458,1.2001321
2459,1.2003198
2460,1.1974411
2461,1.1950259
2462,1.1960788
2463,1.2005373
2464,1.2079833
2465,1.2168608
2466,1.2256268
2467,1.2321997
2468,1.2350858
2469,1.2337248
2470,1.229474
2471,1.2242353
2472,1.2203268
2473,1.2185767
2474,1.2196996
2475,1.2229685
2476,1.2282046
2477,1.2350849
2478,1.2436597
2479,1.2538755
2480,1.2656847
2481,1.2791584
2482,1.2937005
2483,1.3085132
2484,1.3228986
2485,1.3359151
2486,1.3463494
2487,1.353021
2488,1.3561918
2489,1.3567908
2490,1.3557613
2491,1.3533709
2492,1.3500316
2493,1.3459531
2494,1.341387
2495,1.3363931
2496,1.3313599
2497,1.3266046
2498,1.3222777
2499,1.3183084
2500,1.3146365
2501,1.3112419
2502,1.3080794
2503,1.3052208
2504,1.3027551
2505,1.3008121
2506,1.2993598
2507,1.2984596
2508,1.2982371
2509,1.2990611
2510,1.3010535
2511,1.3043199
2512,1.3081234
2513,1.3117355
2514,1.3141954
2515,1.3153687
2516,1.3150084
2517,1.3127477
2518,1.3075982
2519,1.2987063
2520,1.2858772
2521,1.2700856
2522,1.2529033
2523,1.2359756
2524,1.220277
2525,1.2061735
2526,1.1940092
2527,1.1839353
2528,1.1764106
2529,1.1710678
2530,1.1676482
2531,1.1655515
2532,1.1647801
2533,1.1653287
2534,1.1672437
2535,1.169955
2536,1.1730645
2537,1.1762271
2538,1.1796086
2539,1.1830591
2540,1.1863658
2541,1.1891499
2542,1.1909986
2543,1.1916565
2544,1.1913273
2545,1.1904829
2546,1.1897639
2547,1.1891328
2548,1.1888278
2549,1.1886861
2550,1.1892502
2551,1.1905077
2552,1.1925058
2553,1.1950102
2554,1.1980028
2555,1.2012808
2556,1.2042415
2557,1.2061231
2558,1.2069472
2559,1.2071807
2560,1.2073631
2561,1.2074478
2562,1.2069814
2563,1.2057555
2564,1.2033377
2565,1.2002304
2566,1.1966231
2567,1.1934379
2568,1.1906023
2569,1.18876
2570,1.1879048
2571,1.1883814
2572,1.1897113
2573,1.1914492
2574,1.1927965
2575,1.1930267
2576,1.1919485
2577,1.1896684
2578,1.1865342
2579,1.1819425
2580,1.1749376
2581,1.1646037
2582,1.1510646
2583,1.1360769
2584,1.1212816
2585,1.1079648
2586,1.0964832
2587,1.0872688
2588,1.0804458
2589,1.075535
2590,1.0722007
2591,1.0705936
2592,1.0704672
2593,1.0711461
2594,1.0712153
2595,1.0697765
2596,1.0662686
2597,1.0611136
2598,1.0552084
2599,1.0493526
2600,1.0438668
2601,1.0388128
2602,1.03418
2603,1.0299972
2604,1.0261624
2605,1.0227462
2606,1.019791
2607,1.0173663
2608,1.0154446
2609,1.0137001
2610,1.0119923
2611,1.0103478
2612,1.0086223
2613,1.0066521
2614,1.0041776
2615,1.002211
2616,1.0015115
2617,1.0025092
2618,1.0049498
2619,1.0083766
2620,1.0126545
2621,1.0170262
2622,1.0213264
2623,1.0256504
2624,1.0307729
2625,1.0371568
2626,1.0447898
2627,1.0530773
2628,1.0611743
2629,1.067708
2630,1.0718544
2631,1.0735954
2632,1.073793
2633,1.0735517
2634,1.0733798
2635,1.073622
2636,1.0739336
2637,1.0741739
2638,1.0743177
2639,1.0744822
2640,1.0744944
2641,1.073866
2642,1.0726866
2643,1.0714395
2644,1.07069
2645,1.0703237
2646,1.0700638
2647,1.069802
2648,1.0696099
2649,1.0696611
2650,1.0699677
2651,1.070491
2652,1.0711012
2653,1.0720686
2654,1.0734379
2655,1.0748888
2656,1.0755697
2657,1.07528
2658,1.0741624
2659,1.072243
2660,1.0691572
2661,1.0649159
2662,1.0599724
2663,1.0543425
2664,1.0475771
2665,1.039601
2666,1.0318086
2667,1.0254124
2668,1.0203267
2669,1.015521
2670,1.010881
2671,1.0074344
2672,1.0058981
2673,1.0058333
2674,1.0065968
2675,1.0077081
2676,1.0087832
2677,1.0093426
2678,1.0091178
2679,1.0084782
2680,1.0076908
2681,1.0069313
2682,1.005949
2683,1.0046046
2684,1.002704
2685,1.0002778
2686,0.99751884
2687,0.9950387
2688,0.9931716
2689,0.9917691
2690,0.99031204
2691,0.9887834
2692,0.9876414
2693,0.9870987
2694,0.9870518
2695,0.98697525
2696,0.9865851
2697,0.9856629
2698,0.98425156
2699,0.9824476
2700,0.98019964
2701,0.977331
2702,0.97384495
2703,0.9692963
2704,0.9636062
2705,0.95605874
2706,0.9471673
2707,0.9370745
2708,0.92695874
2709,0.9173179
2710,0.9084283
2711,0.8999018
2712,0.89197224
2713,0.88512176
2714,0.8803988
2715,0.8780804
2716,0.87872964
2717,0.8822399
2718,0.88831836
2719,0.89635754
2720,0.90538615
2721,0.9142416
2722,0.9218913
2723,0.92805237
2724,0.9336011
2725,0.938759
2726,0.9434933
2727,0.9473115
2728,0.9509515
2729,0.9549333
2730,0.95944196
2731,0.9639701
2732,0.9683675
2733,0.97257644
2734,0.9765503
2735,0.97949845
2736,0.9807914
2737,0.97965664
2738,0.97666115
2739,0.97248095
2740,0.96820515
2741,0.96438986
2742,0.9611784
2743,0.9584703
2744,0.9558071
2745,0.9526865
2746,0.94876736
2747,0.9441363
2748,0.9395818
2749,0.93549997
2750,0.9319075
2751,0.9284473
2752,0.9252295
2753,0.9224722
2754,0.92024034
2755,0.9185825
2756,0.91746145
2757,0.9169434
2758,0.91703576
2759,0.91778415
2760,0.91924614
2761,0.92156976
2762,0.9250664
2763,0.92993516
2764,0.9357459
2765,0.94166774
2766,0.94706714
2767,0.9507958
2768,0.952233
2769,0.9506262
2770,0.94692117
2771,0.94246477
2772,0.9388346
2773,0.93673104
2774,0.9356398
2775,0.93477136
2776,0.9334927
2777,0.932026
2778,0.9305617
2779,0.9294223
2780,0.92873627
2781,0.928931
2782,0.9300373
2783,0.93170387
2784,0.9332437
2785,0.93432707
2786,0.9350416
2787,0.9355759
2788,0.9360356
2789,0.9365038
2790,0.9373172
2791,0.93863374
2792,0.94071245
2793,0.94362044
2794,0.9470269
2795,0.95014864
2796,0.9522265
2797,0.9531719
2798,0.95312726
2799,0.951909
2800,0.94955677
2801,0.9462984
2802,0.94269484
2803,0.93879527
2804,0.9344514
2805,0.9292965
2806,0.9231928
2807,0.9161045
2808,0.908344
2809,0.9003939
2810,0.89277613
2811,0.8859953
2812,0.8801275
2813,0.8756078
2814,0.8725489
2815,0.87143624
2816,0.8718357
2817,0.8737536
2818,0.8766547
2819,0.8805286
2820,0.8849444
2821,0.88979644
2822,0.89460355
2823,0.89892703
2824,0.902584
2825,0.9058762
2826,0.9091391
2827,0.91221327
2828,0.9146325
2829,0.91628516
2830,0.9173001
2831,0.9181859
2832,0.919053
2833,0.9203157
2834,0.9222879
2835,0.92528576
2836,0.92896926
2837,0.9324001
2838,0.9347268
2839,0.9355057
2840,0.9350168
2841,0.9336031
2842,0.931245
2843,0.9281111
2844,0.9245239
2845,0.9215637
2846,0.91977733
2847,0.9193546
2848,0.9204905
2849,0.92328817
2850,0.92805535
2851,0.9337497
2852,0.9393764
2853,0.9437404
2854,0.947033
2855,0.94976825
2856,0.95259136
2857,0.95563656
2858,0.95911235
2859,0.96292204
2860,0.96668774
2861,0.969802
2862,0.971989
2863,0.9733576
2864,0.97346324
2865,0.9723295
2866,0.9699941
2867,0.9670482
2868,0.9636474
2869,0.9591587
2870,0.9529165
2871,0.9441504
2872,0.933701
2873,0.92249185
2874,0.91105443
2875,0.89926666
2876,0.8870171
2877,0.8749564
2878,0.86266196
2879,0.8493251
2880,0.8336564
2881,0.8154051
